date,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Mean - C,Temperature Min - C,Temperature Max - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Pumps Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Black) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2020-10-01,-8.62,-1.06,374.76,2652.18,0.04,56.43,19.16,92.25,229.23,159.60,260.46,19.54,12.50,28.80,70999.29,583038.00,2438084.00,29.02,25445.61,13916.10,NaN,61.12,345476.00,47496.00,23561761.00,157881584.00,2615.27,4382791.10,2278802.00,10865955.00,12417470.00,8222151.00,14349134.00
2020-11-01,-21.24,-12.17,383.84,4011.90,-0.02,67.58,14.39,253.55,333.00,274.01,472.04,21.44,12.40,40.80,113993.14,632282.00,3698435.00,-11.83,30473.83,10724.30,NaN,70.53,855212.00,1830765.50,30353238.00,261618874.00,-927.78,6913317.40,2631177.00,29283654.00,20358432.00,19272672.00,34334439.00
2020-12-01,-38.05,-8.41,503.17,3841.31,0.20,37.22,31.18,301.27,430.64,305.34,435.85,21.43,14.40,30.80,39742.79,832359.00,3533825.00,142.02,16999.81,23343.10,NaN,148.73,1545927.00,878067.50,44059736.00,538002037.00,793852.49,19715726.94,24334521.00,127001038.00,28148395.00,47899310.00,36139936.00
2021-01-01,-8.73,-2.26,519.14,4134.10,-0.02,63.60,2.21,253.33,406.35,304.57,479.67,22.54,15.20,37.10,21218.31,839336.00,3800924.00,-13.00,28564.01,1640.45,NaN,45.18,271419.00,85947.77,23044370.00,186362136.00,-671.49,4430081.90,94493.57,16038131.00,17096461.00,12657516.00,17875874.00
2021-02-01,-7.15,-7.48,410.71,3770.30,-0.02,0.10,2.68,210.23,380.50,286.54,399.32,21.99,16.50,33.00,16188.59,683583.00,3469040.00,-16.10,58.02,2098.59,NaN,36.15,227226.00,314258.00,14703139.00,136963859.00,-799.90,3522.25,87834.90,7917813.00,13513395.00,9846734.00,13261776.00
2021-03-01,-19.52,-1.83,521.12,4001.80,-0.02,12.38,21.43,202.21,469.72,278.99,375.75,20.84,12.20,30.60,12581.23,809835.00,3689608.00,-17.37,5603.62,15534.75,NaN,39.67,599059.00,77408.58,21999582.00,159395008.00,-963.15,509648.77,1352247.50,8773949.00,18783728.00,9126796.00,11926691.00
2021-04-01,-29.27,-3.63,483.23,3909.10,-0.03,30.56,17.93,170.27,339.97,276.11,382.29,18.16,9.30,28.60,88446.69,710491.00,3605975.00,-18.75,14195.49,13028.90,NaN,58.97,946017.00,153280.51,35352813.00,232119468.00,-1491.39,3337505.61,2507413.00,15910731.00,16455957.00,9799470.00,12256039.00
2021-05-01,-22.78,-20.04,408.19,4510.80,0.01,25.99,37.36,323.51,363.85,235.81,285.35,15.66,7.80,25.90,96689.65,545142.00,4152974.00,9.94,12053.99,27673.20,NaN,134.13,983021.00,1447416.50,83096750.00,568446224.00,294.06,6150226.63,12730765.00,93775154.00,32836331.00,12135093.00,13036848.00
2021-06-01,-55.31,-15.42,397.97,4909.50,0.38,144.45,72.03,327.66,452.01,144.94,241.62,12.95,5.90,21.50,69315.20,572612.00,4513774.00,265.38,65905.91,53647.50,NaN,183.50,2953456.00,1110845.06,125319852.00,813600306.00,269023.63,31868984.00,38890680.00,113934861.00,56586180.00,11473969.00,18725556.00
2021-07-01,-101.04,-5.57,552.69,4953.20,0.50,102.58,111.35,200.85,568.44,168.94,292.54,12.77,5.20,25.00,52005.40,746545.00,4578443.00,354.95,46602.23,81605.40,NaN,138.32,5416057.00,1426085.62,79547827.00,652192556.00,109901.10,21085514.30,31843557.00,61071083.00,54708512.00,14916938.00,24416738.00
2021-08-01,-19.33,-9.88,487.05,4447.10,-0.04,27.58,31.33,126.57,512.11,261.06,394.62,14.39,7.90,25.40,96148.19,674877.00,4103767.00,-30.37,12671.81,22714.50,NaN,63.29,221355.00,734956.10,33444669.00,293479611.00,-1520.35,2925088.53,3631293.00,12202580.00,28843662.00,9131040.00,11472573.00
2021-09-01,-30.15,-9.65,409.95,3711.30,-0.06,75.90,17.35,140.27,500.10,326.67,485.92,16.24,7.30,30.00,70971.59,567193.00,3423402.00,-45.80,34125.38,12609.09,NaN,50.18,-180162.00,386895.56,23888450.00,200156035.00,-3066.71,5955425.91,1802834.00,9809507.00,22850056.00,8066264.00,9656719.00
2021-10-01,-21.33,-2.30,157.02,1256.50,-0.02,19.00,0.19,53.39,170.64,123.30,192.96,17.76,10.30,30.50,10045.50,212769.00,1161850.00,-14.30,8509.08,138.80,NaN,50.61,-194622.00,151572.65,7398863.00,74486347.00,-1050.12,1808651.91,15382.35,3858659.00,7850041.00,3182980.00,93764.00
