date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Mean - C,Temperature Min - C,Temperature Max - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2020-10-01,-2.08,-131.17,59.30,1641.61,9.45,52.13,1.77,200.24,373.54,54.11,188.85,14.68,6.30,25.50,188.46,151204.00,1971163.00,5386.20,31524.01,NaN,53.05,74943.80,5318287.00,3766323.00,79786376.00,446431.00,3499421.50,135528.00,12374399.00,14965927.00,2156076.00,7334870.00
2020-11-01,-2.85,-252.82,48.58,2630.14,25.62,42.76,2.43,146.46,579.80,102.39,334.57,19.24,8.40,36.00,22844.51,182114.00,3121590.00,14603.17,26217.66,NaN,50.53,88883.80,9872358.00,3407718.43,118226936.00,1703380.10,3210338.20,154859.00,10241258.00,22619091.00,3915471.00,11360041.00
2020-12-01,-2.88,-531.35,13.07,2948.82,16.49,8.67,2.30,92.39,647.33,129.51,366.02,17.81,9.00,33.70,664.93,106586.70,3523216.00,9402.10,5429.64,NaN,39.34,54644.74,13797374.00,901458.11,98718298.00,706184.00,911636.30,94885.30,5536735.20,15962272.00,3657353.00,4857427.00
2021-01-01,-2.55,-662.90,3.89,3099.08,12.06,18.06,1.99,214.63,672.26,143.35,351.69,19.78,10.30,39.20,112.76,57694.59,3723582.00,6873.40,11568.13,NaN,40.05,47811.75,16770069.00,274065.35,98034746.00,734658.00,1268201.00,89764.30,10878232.00,17905621.00,3507312.00,4726547.50
2021-02-01,-1.83,-626.67,2.79,2945.52,0.55,9.94,1.50,212.32,525.10,138.33,301.75,19.48,10.70,32.50,30.33,61225.29,3533444.00,311.30,6474.19,NaN,33.14,22818.20,15278301.00,129471.70,74181067.00,-18304.00,445848.53,48411.10,8153458.00,11612228.00,2471296.00,3967036.00
2021-03-01,-1.94,-624.35,3.17,3128.57,0.60,12.98,1.51,314.07,511.86,129.29,269.30,17.42,8.90,29.80,2134.00,102438.08,3745015.00,340.20,8504.48,NaN,40.29,46304.10,18757564.00,143491.70,95547100.00,16122.00,731733.60,69219.90,12997150.00,14538177.00,2698138.00,5345533.00
2021-04-01,-2.31,-276.69,88.63,2744.45,0.00,44.77,1.91,249.57,510.76,118.74,209.88,15.58,7.20,31.60,2.02,310865.10,3272174.00,0.00,33097.12,NaN,56.37,60614.86,7778803.00,9736849.38,136266684.00,0.00,6064213.00,212186.60,22973200.00,16622357.00,3461351.00,4827232.00
2021-05-01,-2.37,-281.49,71.43,2920.08,0.00,101.63,1.96,237.80,703.06,90.17,157.41,12.81,1.90,25.80,3.82,243465.00,3486226.00,0.00,72859.86,NaN,87.43,60618.72,11658265.00,14898872.52,215600861.00,0.00,24223557.71,261520.60,45150634.00,29875761.00,3299266.00,4664426.00
2021-06-01,-2.54,-250.17,68.75,2736.78,135.04,168.13,2.13,356.35,679.86,61.00,123.55,11.45,3.80,19.30,81.84,254313.00,3228300.00,76983.47,118181.80,NaN,106.58,146748.60,18160936.00,14455869.80,250179604.00,18786657.00,26212180.00,376267.00,44064335.00,45057135.00,5534542.00,11758766.00
2021-07-01,-2.55,-348.26,74.99,3165.37,45.78,96.50,2.07,280.73,922.30,57.32,146.93,10.70,2.30,17.80,0.00,279073.00,3788059.00,26098.34,60527.20,NaN,106.64,102588.60,18250851.00,16483426.80,296295492.00,8761125.00,20573440.78,286527.00,49936099.00,48294560.00,4148289.00,10484933.00
2021-08-01,-2.98,-216.99,136.00,2678.91,43.73,105.60,2.43,178.34,866.21,93.93,219.94,12.11,4.80,22.00,0.00,397805.00,3205076.00,24930.52,65756.62,NaN,53.07,73029.92,6575059.00,10990590.00,134372963.00,4601796.00,10873785.44,209861.70,18061875.00,28961231.00,1669189.10,1486709.00
2021-09-01,-2.18,-200.21,87.18,2369.67,14.53,27.34,1.69,191.28,788.16,135.39,291.42,13.38,4.50,26.40,33.24,311230.00,2830173.00,8281.20,17420.46,NaN,31.48,12541.88,3907171.00,5722532.00,77574409.00,1288080.00,2238006.00,127406.70,12838955.00,13565927.00,409801.20,-1060716.00
2021-10-01,-0.95,-119.29,4.00,935.12,1.74,1.48,0.96,63.80,246.84,49.35,126.28,14.18,7.20,23.90,0.00,57493.00,1109579.00,988.80,1114.27,NaN,33.02,4632.90,3875582.00,120178.40,31899161.00,101373.00,198143.44,64140.90,5544532.00,3969211.00,103672.00,-2641484.00
